enhancer status	Zelda_2011_seq	Caudal_2010_seq	Knirps_2010_seq	Giant_2013_seq	Hunchback_2013_seq	Bicoid_2013_seq	Kruppel_2013_seq	Dorsal_motif_FlyReg	Snail_motif_FlyReg	Twist_motif_FlyReg	Snail_2014_chip	Twist_2014_chip	H3K27ac_2015_seq	H3K4me1_2015_seq	Bicoid_2009_chip	Caudal_2009_chip	Dorsal_2009_chip	Giant_2009_chip	Hunchback_2009_chip	Hairy_2009_chip	Snail_2009_chip	Twist_2009_chip	Dorsal_motif_NBT	Dorsal_2015_seq	Snail_motif_Sanger	Zld_motif_sanger	Snail_motif_solexa	Zld_motif_solexa	H3K27ac_2010_seq	p300_2010_seq	Twist_2011_seq	Twist_motif_da	Dpse	Dana	Dere	Dgri	Dsec	Dsim	Dvir	Dwil	Dyak
Kvon2014_chr3R_11814891_11816988	always	7773.9	16.44	5.39	-1.77740079516	-4.18711463242	-1.44816950819	-2.78559209799	3724.08	-10821.2973741	-1064.12008603	6.0	6.541422579	-152.256236624	269.0	2.4689488411	2.730717659	2.6818780899	3.3558526039	3.4948368073	6.0244431495	1.8042888641	5.549519062	1190.25	387.48	-698.805678781	1482.69	-1080.17086915	1447.23	1.0	2.0	253.9171	-749.359104935	1678.15604989	2042.34348562	7172.14390156	922.425323997	7994.66434989	7771.68875665	870.149253731	539.787621007	6328.97350993
Kvon2014_chr3R_10505242_10507354	always	2563.5	16.4	4.14	1.387	1.599	1.184	1.962	2589.86	-10821.2973741	-1064.12008603	6.0	6.0	-152.256236624	299.0	2.9111366272	3.1940975189	2.4311962128	2.3533468246	2.2701301575	2.9052731991	5.1229362488	8.2922449112	-763.851727405	307.04	-698.805678781	1690.1	1454.36	3025.33	-0.325983019914	1.0	185.198	1457.7	1152.98372165	1163.11035156	5888.13935938	-212.921723717	7445.89068826	7571.21172919	45.737158625	311.068202974	6368.35791653
Kvon2014_chr2L_3475934_3478473	always	799.8	12.14	-0.896039530809	-1.77740079516	-4.18711463242	-1.44816950819	-2.78559209799	1282.57	1080.02	-1064.12008603	5.7	-1.6592024513	578.0	726.0	-0.461632875362	-0.567217989819	2.1560468674	-0.550017218669	-0.817820151834	-0.79823672543	1.1156568527	3.7517623902	-763.851727405	-47.735584545	-698.805678781	1202.08	1285.43	1264.01	1.0	1.0	20.2108	1146.22	1835.20685112	2486.34446598	6773.61914135	295.901938065	8087.87319952	8258.00734619	424.810473849	613.221604154	6666.23694599
Kvon2014_chr2L_14479729_14481926	always	108.7	-3.76325157622	-0.896039530809	-1.77740079516	-4.18711463242	-1.44816950819	0.197	-1384.34100219	-10821.2973741	-1064.12008603	-1.8034658224	4.958607315	-152.256236624	-88.1248645111	-0.461632875362	-0.567217989819	-0.890639427412	-0.550017218669	-0.817820151834	-0.79823672543	-0.523978224001	2.4305739402	-763.851727405	-47.735584545	-698.805678781	-634.120989671	-1080.17086915	-654.744769056	-0.325983019914	-0.29330341773	20.2108	3999.33	2210.82200326	3998.92220977	6269.31307638	1684.81430907	8208.24504443	4789.53211924	2025.60963433	1395.22725271	6712.72130192
Kvon2014_chr2R_10340769_10342884	always	1115.5	3.79	-0.896039530809	0.328	-0.8295	-1.44816950819	0.783	-1384.34100219	1154.32	-1064.12008603	5.22	-1.6592024513	-152.256236624	-88.1248645111	-0.461632875362	-0.567217989819	2.3764915466	1.570183754	-0.817820151834	-0.79823672543	-0.523978224001	2.3043794632	-763.851727405	-47.735584545	-698.805678781	1690.1	-1080.17086915	1643.54	-0.325983019914	-0.29330341773	57.1431	-749.359104935	2764.17822366	3438.56215244	6553.20403903	1151.90437573	7640.06871944	7870.20255064	1140.95054183	852.828172492	6503.56534277
Kvon2014_chr3R_21293119_21295233	always	252.3	4.57	-0.896039530809	-1.77740079516	-4.18711463242	-1.44816950819	-2.78559209799	7720.14	-10821.2973741	1296.77	8.66	1.275445616	-152.256236624	-88.1248645111	-0.461632875362	-0.567217989819	0.962469101	-0.550017218669	-0.817820151834	0.7939357758	0.6573002338	3.2083668709	-763.851727405	-47.735584545	-698.805678781	-634.120989671	-1080.17086915	1630.45	-0.325983019914	-0.29330341773	-47.2777597675	-749.359104935	944.392858797	1462.20435194	6290.43212649	711.825922422	7996.18012512	8135.33605196	711.684011353	658.751182592	6238.44086022
Kvon2014_chr3R_2548627_2550765	always	289.5	5.24	-0.896039530809	1.294	-0.6425	-1.44816950819	0.762	1196.03	-10821.2973741	-1064.12008603	1.83	-1.6592024513	-152.256236624	-88.1248645111	-0.461632875362	-0.567217989819	1.2410101891	2.1696138382	-0.817820151834	5.2082104683	-0.523978224001	3.8733286858	-763.851727405	-47.735584545	-698.805678781	1214.28	-1080.17086915	1303.28	-0.325983019914	-0.29330341773	121.895	1133.76	2574.40946214	3004.03391018	6579.70785957	358.144832938	7807.02360187	7865.04394279	1275.26373373	794.459150447	6373.72948232
Kvon2014_chr3R_12076924_12079107	always	4716.1	17.51	-0.896039530809	1.994	1.0015	0.585	1.695	-1384.34100219	1228.63	2755.57	6.0	6.0	595.0	325.0	2.5473046303	2.3310937881	3.7748765945	3.1582202911	1.4839496613	1.3988542557	1.2739081383	4.12971735	-763.851727405	-47.735584545	1202.77	1482.69	-1080.17086915	1578.1	1.0	1.0	97.2075	-749.359104935	1624.71608527	2918.85660139	6866.00013806	1004.18808293	8183.94796258	8190.8326476	985.173054749	965.686732513	5873.2977441
Kvon2014_chrX_3032372_3034558	always	1780.3	21.48	-0.896039530809	1.167	1.612	-1.44816950819	0.281	3835.33	-10821.2973741	1209.53	10.57	8.894489815	456.0	189.0	-0.461632875362	2.0163450241	3.4240677357	4.0865867138	2.5712070465	1.8702368737	0.7456531525	4.9536857605	1215.3	183.62	-698.805678781	1482.69	-1080.17086915	1277.1	-0.325983019914	1.0	-47.2777597675	-749.359104935	851.555352242	1598.50527673	5985.68618434	564.638609332	6804.88505747	6809.53879753	476.279850324	389.707227813	5905.62898962
Kvon2014_chr3L_22392640_22394735	always	2386.1	28.32	-0.896039530809	-1.77740079516	-4.18711463242	-1.44816950819	-2.78559209799	2664.04	-10821.2973741	-1064.12008603	6.0	6.0	558.0	356.0	1.7285728455	3.0837917328	3.3315734863	2.5265922546	5.2406597137	3.7321338654	4.1307067871	6.8357133865	-763.851727405	-47.735584545	889.71	-634.120989671	1454.36	-654.744769056	-0.325983019914	1.0	292.414	1358.03	1634.80156836	3251.95010541	6866.88790708	957.659831474	7865.78259139	8029.10321489	765.83545466	1227.02088305	6947.67606743
